iter	Passed	Remaining
0	1	139
1	2	136
2	4	133
3	5	124
4	6	126
5	7	123
6	9	120
7	10	117
8	11	114
9	12	111
10	13	108
11	14	107
12	15	106
13	17	104
14	18	103
15	19	101
16	20	99
17	21	98
18	22	96
19	23	94
20	24	92
21	25	91
22	26	90
23	28	89
24	29	88
25	30	86
26	31	85
27	32	83
28	34	83
29	35	82
30	36	80
31	37	79
32	38	77
33	39	76
34	40	75
35	41	74
36	42	72
37	43	71
38	44	70
39	46	69
40	47	68
41	47	65
42	48	64
43	49	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	58
49	57	57
50	58	55
51	59	54
52	60	53
53	61	52
54	62	51
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	69	44
61	70	43
62	71	42
63	73	41
64	74	40
65	75	38
66	76	37
67	77	36
68	78	35
69	79	34
70	81	33
71	82	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	97	17
85	98	15
86	99	14
87	100	13
88	101	12
89	102	11
90	104	10
91	105	9
92	106	8
93	107	6
94	108	5
95	109	4
96	110	3
97	112	2
98	113	1
99	114	0
