iter	Passed	Remaining
0	202	202446
1	207	103698
2	212	70603
3	221	55120
4	226	45033
5	229	38095
6	233	33178
7	238	29518
8	240	26507
9	242	23998
10	244	22005
11	246	20291
12	247	18818
13	249	17549
14	250	16460
15	253	15583
16	254	14711
17	255	13943
18	256	13254
19	258	12679
20	259	12112
21	260	11602
22	262	11130
23	263	10729
24	265	10340
25	266	9974
26	267	9644
27	268	9332
28	269	9039
29	270	8760
30	272	8530
31	276	8349
32	277	8118
33	278	7902
34	279	7697
35	280	7504
36	281	7317
37	282	7145
38	283	6980
39	284	6823
40	285	6675
41	287	6546
42	288	6412
43	289	6290
44	290	6168
45	291	6050
46	293	5945
47	294	5840
48	295	5734
49	296	5633
50	297	5537
51	298	5441
52	299	5352
53	300	5266
54	301	5187
55	302	5104
56	304	5042
57	305	4965
58	306	4893
59	307	4822
60	308	4754
61	309	4687
62	311	4625
63	312	4563
64	312	4501
65	313	4442
66	314	4385
67	316	4335
68	317	4281
69	318	4230
70	319	4181
71	320	4132
72	321	4084
73	322	4036
74	323	3989
75	324	3943
76	325	3902
77	326	3860
78	327	3817
79	328	3777
80	329	3736
81	330	3699
82	331	3657
83	332	3621
84	333	3593
85	334	3558
86	335	3524
87	336	3490
88	337	3458
89	338	3426
90	340	3400
91	341	3370
92	342	3345
93	343	3314
94	344	3285
95	346	3262
96	348	3239
97	349	3212
98	350	3185
99	350	3158
100	351	3132
101	352	3105
102	353	3079
103	354	3054
104	355	3029
105	356	3004
106	357	2980
107	358	2958
108	359	2935
109	360	2912
110	361	2893
111	362	2872
112	363	2851
113	364	2832
114	365	2811
115	366	2791
116	367	2770
117	367	2750
118	368	2730
119	370	2715
120	371	2697
121	371	2677
122	372	2658
123	373	2640
124	374	2622
125	376	2613
126	377	2596
127	378	2579
128	379	2563
129	380	2548
130	381	2533
131	383	2521
132	384	2507
133	385	2492
134	387	2479
135	388	2465
136	389	2451
137	390	2440
138	391	2427
139	392	2412
140	393	2399
141	394	2384
142	395	2370
143	396	2356
144	397	2343
145	398	2330
146	399	2316
147	400	2303
148	401	2291
149	402	2278
150	402	2265
151	403	2253
152	404	2240
153	405	2230
154	407	2219
155	408	2207
156	408	2195
157	409	2184
158	410	2172
159	411	2160
160	412	2149
161	413	2138
162	414	2127
163	415	2116
164	416	2105
165	417	2095
166	418	2085
167	419	2076
168	420	2067
169	421	2059
170	423	2050
171	423	2041
172	425	2033
173	426	2023
174	427	2014
175	428	2004
176	429	1995
177	430	1987
178	431	1978
179	432	1969
180	433	1962
181	434	1953
182	436	1947
183	437	1938
184	438	1929
185	438	1920
186	439	1912
187	440	1903
188	441	1895
189	442	1887
190	443	1879
191	444	1870
192	445	1862
193	446	1854
194	447	1847
195	448	1840
196	449	1831
197	450	1824
198	451	1817
199	452	1810
200	453	1803
201	454	1795
202	455	1788
203	456	1781
204	457	1775
205	458	1769
206	460	1763
207	461	1757
208	462	1750
209	463	1743
210	464	1738
211	466	1733
212	467	1727
213	468	1720
214	469	1713
215	470	1706
216	471	1699
217	472	1693
218	473	1686
219	473	1680
220	474	1673
221	475	1667
222	476	1660
223	477	1654
224	478	1648
225	479	1641
226	480	1636
227	481	1629
228	482	1623
229	483	1617
230	484	1611
231	485	1605
232	485	1599
233	486	1593
234	487	1587
235	488	1582
236	490	1577
237	491	1572
238	492	1566
239	493	1562
240	494	1558
241	496	1554
242	497	1549
243	498	1544
244	499	1539
245	500	1534
246	501	1528
247	503	1525
248	504	1520
249	505	1515
250	506	1510
251	507	1505
252	507	1499
253	516	1515
254	517	1510
255	518	1505
256	520	1503
257	521	1499
258	522	1495
259	523	1490
260	524	1485
261	525	1481
262	527	1478
263	529	1477
264	530	1472
265	531	1467
266	532	1462
267	533	1457
268	534	1452
269	535	1448
270	537	1445
271	538	1441
272	539	1437
273	541	1433
274	541	1428
275	542	1424
276	544	1421
277	546	1418
278	547	1413
279	548	1409
280	548	1404
281	549	1399
282	550	1395
283	551	1390
284	553	1387
285	555	1387
286	556	1382
287	557	1378
288	558	1374
289	559	1369
290	560	1365
291	561	1361
292	562	1357
293	563	1353
294	565	1350
295	566	1346
296	566	1342
297	567	1337
298	568	1333
299	569	1329
300	571	1327
301	572	1323
302	573	1319
303	574	1315
304	575	1311
305	576	1306
306	577	1302
307	578	1298
308	579	1295
309	580	1291
310	581	1288
311	582	1284
312	583	1280
313	584	1277
314	585	1274
315	586	1270
316	587	1266
317	588	1262
318	589	1258
319	590	1254
320	591	1250
321	592	1246
322	593	1243
323	593	1239
324	594	1235
325	595	1231
326	596	1228
327	597	1224
328	598	1221
329	600	1218
330	601	1215
331	602	1211
332	602	1207
333	603	1204
334	604	1200
335	605	1196
336	606	1193
337	607	1189
338	608	1185
339	609	1182
340	610	1178
341	610	1175
342	611	1172
343	612	1168
344	613	1165
345	615	1162
346	616	1159
347	617	1156
348	617	1152
349	618	1149
350	619	1145
351	620	1142
352	621	1139
353	622	1135
354	623	1132
355	624	1128
356	624	1125
357	625	1122
358	626	1119
359	627	1116
360	628	1112
361	629	1109
362	630	1106
363	631	1103
364	632	1100
365	633	1097
366	634	1094
367	635	1091
368	636	1087
369	637	1084
370	637	1081
371	638	1078
372	639	1075
373	640	1072
374	641	1069
375	642	1066
376	643	1063
377	644	1060
378	645	1057
379	646	1054
380	647	1051
381	648	1049
382	649	1046
383	650	1042
384	651	1039
385	651	1037
386	652	1034
387	653	1031
388	654	1028
389	655	1025
390	656	1022
391	657	1019
392	658	1016
393	659	1014
394	660	1011
395	661	1008
396	662	1005
397	663	1002
398	663	1000
399	664	997
400	665	994
401	666	991
402	667	988
403	668	986
404	669	983
405	670	980
406	671	978
407	672	975
408	672	972
409	673	969
410	675	967
411	675	964
412	676	961
413	677	959
414	678	956
415	679	953
416	680	951
417	681	948
418	682	945
419	683	943
420	683	940
421	684	938
422	685	935
423	686	932
424	687	930
425	688	927
426	689	925
427	690	922
428	691	920
429	692	917
430	693	915
431	694	912
432	695	910
433	696	907
434	697	905
435	697	902
436	698	900
437	699	897
438	700	895
439	701	892
440	702	890
441	703	887
442	704	885
443	705	883
444	706	880
445	706	878
446	707	875
447	708	873
448	709	870
449	710	868
450	711	865
451	712	863
452	713	861
453	713	858
454	714	856
455	715	853
456	716	851
457	717	849
458	718	846
459	719	844
460	720	842
461	721	840
462	722	837
463	723	835
464	724	833
465	725	831
466	726	829
467	728	827
468	728	825
469	729	822
470	730	820
471	731	818
472	733	816
473	734	815
474	736	813
475	737	811
476	737	809
477	738	806
478	739	804
479	740	802
480	741	800
481	742	798
482	743	796
483	744	794
484	745	791
485	746	789
486	747	787
487	748	785
488	749	783
489	750	781
490	751	778
491	752	776
492	753	774
493	754	772
494	755	770
495	755	768
496	756	765
497	757	763
498	758	761
499	759	759
500	760	757
501	761	755
502	762	753
503	763	751
504	764	749
505	765	747
506	766	745
507	767	743
508	768	741
509	769	738
510	770	736
511	770	734
512	771	732
513	772	730
514	773	728
515	774	726
516	775	724
517	776	722
518	777	720
519	778	718
520	779	716
521	780	714
522	781	712
523	782	710
524	782	708
525	783	706
526	784	704
527	785	702
528	786	700
529	787	698
530	788	696
531	789	694
532	790	692
533	790	690
534	791	688
535	792	686
536	794	684
537	794	682
538	795	680
539	796	678
540	797	676
541	798	675
542	799	673
543	800	671
544	801	669
545	802	667
546	803	665
547	804	663
548	805	661
549	806	659
550	807	657
551	808	655
552	809	654
553	809	652
554	810	650
555	811	648
556	812	646
557	813	644
558	814	642
559	815	640
560	816	638
561	817	636
562	818	634
563	818	633
564	819	631
565	820	629
566	821	627
567	822	625
568	823	623
569	824	622
570	825	620
571	826	618
572	827	616
573	828	614
574	829	612
575	830	611
576	830	609
577	831	607
578	832	605
579	833	603
580	834	601
581	835	599
582	836	598
583	837	596
584	838	594
585	839	592
586	840	591
587	841	589
588	841	587
589	842	585
590	843	584
591	844	582
592	845	580
593	846	578
594	847	576
595	848	575
596	849	573
597	850	571
598	851	569
599	852	568
600	853	566
601	854	564
602	855	562
603	855	561
604	856	559
605	857	557
606	858	555
607	859	554
608	860	552
609	861	550
610	862	548
611	863	547
612	864	545
613	864	543
614	865	542
615	866	540
616	868	538
617	869	537
618	870	535
619	871	533
620	872	532
621	873	530
622	873	528
623	874	527
624	875	525
625	876	523
626	877	522
627	878	520
628	879	518
629	880	517
630	881	515
631	882	513
632	883	512
633	884	510
634	885	508
635	886	507
636	886	505
637	887	503
638	888	502
639	889	500
640	890	498
641	891	497
642	892	495
643	893	493
644	894	492
645	894	490
646	895	488
647	896	487
648	897	485
649	898	483
650	899	482
651	900	480
652	901	479
653	902	477
654	903	475
655	904	474
656	905	472
657	905	470
658	906	469
659	907	467
660	908	465
661	909	464
662	910	462
663	911	461
664	912	459
665	913	458
666	914	456
667	915	455
668	916	453
669	917	451
670	918	450
671	919	448
672	919	447
673	920	445
674	921	443
675	922	442
676	923	440
677	924	439
678	925	437
679	926	435
680	927	434
681	928	432
682	929	431
683	930	429
684	930	428
685	931	426
686	932	425
687	933	423
688	934	421
689	935	420
690	936	418
691	937	417
692	938	415
693	939	414
694	940	412
695	941	411
696	942	409
697	943	408
698	944	406
699	945	405
700	946	403
701	947	402
702	948	400
703	949	399
704	950	397
705	950	396
706	951	394
707	952	392
708	953	391
709	954	389
710	955	388
711	956	386
712	957	385
713	958	383
714	959	382
715	960	380
716	961	379
717	962	377
718	963	376
719	963	374
720	964	373
721	965	371
722	966	370
723	967	368
724	968	367
725	969	366
726	971	364
727	972	363
728	973	361
